PA,SZ,YOUNG,ACTIVE,OLD,TOTAL
Ang Mo Kio,Ang Mo Kio Town Centre,1330,2770,730,4830
Ang Mo Kio,Cheng San,5880,16970,5480,28330
Ang Mo Kio,Chong Boon,5430,15700,5960,27090
Ang Mo Kio,Kebun Bahru,4930,13300,4780,23010
Ang Mo Kio,Sembawang Hills,1960,3620,1200,6780
Ang Mo Kio,Shangri-La,3580,9600,3360,16540
Ang Mo Kio,Tagore,2170,4650,1300,8120
Ang Mo Kio,Townsville,4570,12580,4800,21950
Ang Mo Kio,Yio Chu Kang East,1150,2410,640,4200
Ang Mo Kio,Yio Chu Kang West,6130,14580,4270,24980
Bedok,Bayshore,2030,4360,850,7240
Bedok,Bedok North,19180,48300,15150,82630
Bedok,Bedok Reservoir,7100,15570,3190,25860
Bedok,Bedok South,11210,27340,9530,48080
Bedok,Frankel,9260,19350,5460,34070
Bedok,Kaki Bukit,9430,23190,5850,38470
Bedok,Kembangan,8710,22610,7230,38550
Bedok,Siglap,1440,3560,1560,6560
Bishan,Bishan East,6480,17330,4920,28730
Bishan,Marymount,8280,18000,3990,30270
Bishan,Upper Thomson,7210,16800,5520,29530
Bukit Batok,Brickworks,1550,3280,260,5090
Bukit Batok,Bukit Batok Central,6830,16220,3600,26650
Bukit Batok,Bukit Batok East,2990,8330,1990,13310
Bukit Batok,Bukit Batok South,4350,9350,1340,15040
Bukit Batok,Bukit Batok West,4010,9370,2100,15480
Bukit Batok,Gombak,2770,5900,1430,10100
Bukit Batok,Guilin,3430,8010,1660,13100
Bukit Batok,Hillview,5500,11410,2110,19020
Bukit Batok,Hong Kah North,6780,16640,3400,26820
Bukit Merah,Alexandra Hill,3170,7850,3240,14260
Bukit Merah,Alexandra North,420,910,100,1430
Bukit Merah,Bukit Ho Swee,3020,8660,3510,15190
Bukit Merah,Bukit Merah,260,610,250,1120
Bukit Merah,Depot Road,1670,3750,970,6390
Bukit Merah,Everton Park,1720,4840,1840,8400
Bukit Merah,Henderson Hill,2380,6340,2780,11500
Bukit Merah,Kampong Tiong Bahru,1810,5330,2350,9490
Bukit Merah,Maritime Square,800,1980,410,3190
Bukit Merah,Redhill,3100,7070,1960,12130
Bukit Merah,Telok Blangah Drive,3880,10570,3510,17960
Bukit Merah,Telok Blangah Rise,2470,7080,3120,12670
Bukit Merah,Telok Blangah Way,1940,5600,2260,9800
Bukit Merah,Tiong Bahru,2810,7550,2450,12810
Bukit Merah,Tiong Bahru Station,3780,9150,2740,15670
Bukit Panjang,Bangkit,5610,14000,3320,22930
Bukit Panjang,Dairy Farm,2050,4050,620,6720
Bukit Panjang,Fajar,8740,16960,2800,28500
Bukit Panjang,Jelebu,8520,19480,3930,31930
Bukit Panjang,Nature Reserve,1130,2260,430,3820
Bukit Panjang,Saujana,8270,15840,2220,26330
Bukit Panjang,Senja,6600,12220,1890,20710
Bukit Timah,Anak Bukit,5980,12530,3590,22100
Bukit Timah,Coronation Road,1970,3360,1070,6400
Bukit Timah,Farrer Court,1860,3510,880,6250
Bukit Timah,Hillcrest,2860,4930,1320,9110
Bukit Timah,Holland Road,3410,5870,1390,10670
Bukit Timah,Leedon Park,1760,3670,1060,6490
Bukit Timah,Swiss Club,1650,3120,860,5630
Bukit Timah,Ulu Pandan,2960,5930,1880,10770
Changi,Changi Point,120,370,110,600
Changi,Changi West,620,820,50,1490
Choa Chu Kang,Choa Chu Kang Central,6520,12890,2100,21510
Choa Chu Kang,Choa Chu Kang North,10920,19140,2830,32890
Choa Chu Kang,Keat Hong,10900,19690,2180,32770
Choa Chu Kang,Peng Siang,10000,20320,3370,33690
Choa Chu Kang,Teck Whye,6620,15130,3510,25260
Choa Chu Kang,Yew Tee,12980,25120,3350,41450
Clementi,Clementi Central,3160,7860,2830,13850
Clementi,Clementi North,6320,17070,6130,29520
Clementi,Clementi West,3640,9420,2780,15840
Clementi,Clementi Woods,3850,8970,2930,15750
Clementi,Faber,1840,3380,670,5890
Clementi,Sunset Way,1420,3390,1240,6050
Clementi,West Coast,1960,3480,750,6190
Downtown Core,Bugis,130,510,220,860
Downtown Core,Cecil,30,190,0,220
Downtown Core,Central Subzone,130,510,30,670
Downtown Core,Tanjong Pagar,90,450,70,610
Geylang,Aljunied,8490,24310,7240,40040
Geylang,Geylang East,7330,18320,5530,31180
Geylang,Kampong Ubi,2990,7710,1600,12300
Geylang,Macpherson,6460,16440,5170,28070
Hougang,Hougang Central,1200,2860,710,4770
Hougang,Hougang East,6550,15680,2830,25060
Hougang,Hougang West,10340,28800,7180,46320
Hougang,Kangkar,7850,18270,4180,30300
Hougang,Kovan,6780,15160,3810,25750
Hougang,Lorong Ah Soo,7450,19160,5880,32490
Hougang,Tai Seng,3670,8080,2470,14220
Hougang,Trafalgar,12190,26570,5540,44300
Jurong East,Jurong Gateway,120,280,10,410
Jurong East,Lakeside,150,540,220,910
Jurong East,Teban Gardens,4840,11110,3350,19300
Jurong East,Toh Guan,3930,9510,1800,15240
Jurong East,Yuhua East,5670,15270,4550,25490
Jurong East,Yuhua West,4940,11830,3170,19940
Jurong West,Boon Lay Place,8920,17800,3500,30220
Jurong West,Hong Kah,13710,32920,8240,54870
Jurong West,Jurong West Central,19300,40760,5650,65710
Jurong West,Taman Jurong,11640,22960,4050,38650
Jurong West,Wenya,2690,4960,740,8390
Jurong West,Yunnan,20320,41410,7140,68870
Kallang,Bendemeer,7740,21590,6700,36030
Kallang,Boon Keng,2560,7150,2530,12240
Kallang,Crawford,1490,4930,2560,8980
Kallang,Geylang Bahru,2500,6980,2500,11980
Kallang,Kampong Bugis,150,530,160,840
Kallang,Kampong Java,2360,6240,2150,10750
Kallang,Lavender,2110,5790,1830,9730
Kallang,Tanjong Rhu,2940,6670,1460,11070
Lim Chu Kang,Lim Chu Kang,10,40,10,60
Mandai,Mandai Estate,630,1250,250,2130
Marine Parade,Katong,2410,5500,1490,9400
Marine Parade,Marine Parade,6740,15070,5720,27530
Marine Parade,Mountbatten,2770,5990,1590,10350
Museum,Dhoby Ghaut,20,200,20,240
Museum,Fort Canning,30,110,10,150
Newton,Cairnhill,980,2210,540,3730
Newton,Goodwood Park,360,690,130,1180
Newton,Monk's Hill,270,580,150,1000
Newton,Newton Circus,40,160,30,230
Newton,Orange Grove,370,960,280,1610
Novena,Balestier,7380,19220,5760,32360
Novena,Dunearn,1110,2050,750,3910
Novena,Malcolm,860,1490,480,2830
Novena,Moulmein,2850,5370,1000,9220
Novena,Mount Pleasant,200,390,140,730
Orchard,Boulevard,100,250,100,450
Orchard,Somerset,10,100,0,110
Orchard,Tanglin,120,270,70,460
Outram,China Square,180,890,450,1520
Outram,Chinatown,2440,6440,2070,10950
Outram,Pearl's Hill,1230,3910,2200,7340
Outram,People's Park,10,230,50,290
Pasir Ris,Flora Drive,4220,8830,1600,14650
Pasir Ris,Loyang East,570,1290,300,2160
Pasir Ris,Loyang West,0,0,170,170
Pasir Ris,Pasir Ris Central,9370,18550,2650,30570
Pasir Ris,Pasir Ris Drive,16820,33140,6040,56000
Pasir Ris,Pasir Ris Park,2440,4480,340,7260
Pasir Ris,Pasir Ris West,11730,21430,3060,36220
Punggol,Matilda,16130,28870,2950,47950
Punggol,Northshore,70,140,40,250
Punggol,Punggol Field,15940,28320,4160,48420
Punggol,Punggol Town Centre,5790,10780,910,17480
Punggol,Waterway East,16050,28590,2870,47510
Queenstown,Commonwealth,1380,4320,1760,7460
Queenstown,Dover,2930,6350,2040,11320
Queenstown,Ghim Moh,3090,7460,3020,13570
Queenstown,Holland Drive,2350,7450,3410,13210
Queenstown,Kent Ridge,180,520,140,840
Queenstown,Margaret Drive,4060,8820,2150,15030
Queenstown,Mei Chin,3650,9150,3040,15840
Queenstown,National University Of S'pore,110,140,0,250
Queenstown,One North,170,460,20,650
Queenstown,Pasir Panjang 1,1140,2730,540,4410
Queenstown,Pasir Panjang 2,800,1970,510,3280
Queenstown,Port,10,70,20,100
Queenstown,Queensway,50,210,50,310
Queenstown,Singapore Polytechnic,30,70,0,100
Queenstown,Tanglin Halt,2290,6810,2700,11800
River Valley,Institution Hill,960,2160,390,3510
River Valley,Leonie Hill,720,1820,300,2840
River Valley,One Tree Hill,480,1130,320,1930
River Valley,Oxley,320,890,260,1470
River Valley,Paterson,60,140,0,200
Rochor,Bencoolen,210,780,300,1290
Rochor,Farrer Park,600,1710,520,2830
Rochor,Kampong Glam,0,100,40,140
Rochor,Little India,650,1980,830,3460
Rochor,Mackenzie,30,90,0,120
Rochor,Mount Emily,270,950,120,1340
Rochor,Selegie,50,160,40,250
Rochor,Sungei Road,470,1180,530,2180
Rochor,Victoria,260,1140,540,1940
Seletar,Seletar,90,140,0,230
Sembawang,Admiralty,4440,8480,1260,14180
Sembawang,Sembawang Central,9320,18720,2500,30540
Sembawang,Sembawang East,2570,5520,400,8490
Sembawang,Sembawang North,8230,15810,2170,26210
Sembawang,Sembawang Springs,1920,3590,720,6230
Sembawang,Sembawang Straits,550,1000,180,1730
Sengkang,Anchorvale,14340,26160,3250,43750
Sengkang,Compassvale,6670,12930,1590,21190
Sengkang,Fernvale,17850,31820,4160,53830
Sengkang,Rivervale,18300,36400,5990,60690
Sengkang,Sengkang Town Centre,18460,37430,5410,61300
Serangoon,Lorong Chuan,2460,4880,1210,8550
Serangoon,Seletar Hills,3770,7790,2360,13920
Serangoon,Serangoon Central,5230,15440,4480,25150
Serangoon,Serangoon Garden,8460,21410,7430,37300
Serangoon,Serangoon North,4580,9730,1970,16280
Serangoon,Upper Paya Lebar,3820,9720,2700,16240
Singapore River,Boat Quay,0,100,20,120
Singapore River,Clarke Quay,10,120,10,140
Singapore River,Robertson Quay,740,1790,200,2730
Southern Islands,Sentosa,510,1190,100,1800
Sungei Kadut,Turf Club,170,390,150,710
Tampines,Simei,10740,24500,5150,40390
Tampines,Tampines East,35900,81520,17670,135090
Tampines,Tampines West,22030,48300,9660,79990
Tampines,Xilin,470,1090,180,1740
Tanglin,Chatsworth,1650,4050,800,6500
Tanglin,Nassim,2870,5320,1240,9430
Tanglin,Ridout,370,810,250,1430
Tanglin,Tyersall,970,2100,580,3650
Toa Payoh,Boon Teck,3070,7410,3120,13600
Toa Payoh,Braddell,2360,5650,2010,10020
Toa Payoh,Joo Seng,1850,4810,1310,7970
Toa Payoh,Kim Keat,1690,4900,1710,8300
Toa Payoh,Lorong 8 Toa Payoh,1530,4220,1810,7560
Toa Payoh,Pei Chun,2380,6170,2260,10810
Toa Payoh,Potong Pasir,2240,6730,2350,11320
Toa Payoh,Sennett,1330,3040,1040,5410
Toa Payoh,Toa Payoh Central,7210,16770,4900,28880
Toa Payoh,Toa Payoh West,2760,8270,3260,14290
Toa Payoh,Woodleigh,710,1470,260,2440
Western Water Catchment,Western Water Catchment,230,430,70,730
Woodlands,Midview,12150,21000,2830,35980
Woodlands,North Coast,3200,7640,2050,12890
Woodlands,Woodgrove,10730,20770,3080,34580
Woodlands,Woodlands East,31770,58380,6910,97060
Woodlands,Woodlands South,14070,24020,3080,41170
Woodlands,Woodlands West,8330,18380,4090,30800
Yishun,Khatib,2330,6640,1570,10540
Yishun,Lower Seletar,5470,9140,700,15310
Yishun,Nee Soon,240,550,150,940
Yishun,Northland,7480,18000,3560,29040
Yishun,Springleaf,1190,2350,690,4230
Yishun,Yishun Central,320,850,210,1380
Yishun,Yishun East,17730,34470,4740,56940
Yishun,Yishun South,9990,25550,5330,40870
Yishun,Yishun West,13540,34480,7770,55790
