PA,SX,AG,Subsum
Jurong West,Males,55_to_59,9990
Jurong West,Males,60_to_64,9110
Jurong West,Males,65_to_69,7830
Jurong West,Males,70_to_74,5660
Jurong West,Males,75_to_79,2670
Jurong West,Males,80_to_84,1470
Jurong West,Males,85_to_89,610
Jurong West,Males,90_and_over,200
Kallang,Females,0_to_4,1810
Kallang,Females,10_to_14,1930
Kallang,Females,15_to_19,2060
Kallang,Females,20_to_24,2240
Kallang,Females,25_to_29,3000
Kallang,Females,30_to_34,3940
Kallang,Females,35_to_39,3660
Kallang,Females,40_to_44,3860
Kallang,Females,45_to_49,4010
Kallang,Females,5_to_9,1910
Kallang,Females,50_to_54,3670
Kallang,Females,55_to_59,3380
Kallang,Females,60_to_64,3620
Kallang,Females,65_to_69,3460
Kallang,Females,70_to_74,3260
Kallang,Females,75_to_79,2010
Kallang,Females,80_to_84,1710
Kallang,Females,85_to_89,910
Kallang,Females,90_and_over,730
Kallang,Males,0_to_4,1950
Kallang,Males,10_to_14,2100
Kallang,Males,15_to_19,2080
Kallang,Males,20_to_24,2310
Kallang,Males,25_to_29,2850
Kallang,Males,30_to_34,3570
Kallang,Males,35_to_39,3420
Kallang,Males,40_to_44,3680
Kallang,Males,45_to_49,3830
Kallang,Males,5_to_9,2110
Kallang,Males,50_to_54,3770
Kallang,Males,55_to_59,3840
Kallang,Males,60_to_64,3950
Kallang,Males,65_to_69,3570
Kallang,Males,70_to_74,2980
Kallang,Males,75_to_79,1730
Kallang,Males,80_to_84,1290
Kallang,Males,85_to_89,520
Kallang,Males,90_and_over,320
Lim Chu Kang,Females,0_to_4,0
Lim Chu Kang,Females,10_to_14,0
Lim Chu Kang,Females,15_to_19,0
Lim Chu Kang,Females,20_to_24,0
Lim Chu Kang,Females,25_to_29,0
Lim Chu Kang,Females,30_to_34,0
Lim Chu Kang,Females,35_to_39,0
Lim Chu Kang,Females,40_to_44,0
Lim Chu Kang,Females,45_to_49,0
Lim Chu Kang,Females,5_to_9,0
Lim Chu Kang,Females,50_to_54,0
Lim Chu Kang,Females,55_to_59,0
Lim Chu Kang,Females,60_to_64,0
Lim Chu Kang,Females,65_to_69,0
Lim Chu Kang,Females,70_to_74,0
Lim Chu Kang,Females,75_to_79,0
Lim Chu Kang,Females,80_to_84,0
Lim Chu Kang,Females,85_to_89,0
Lim Chu Kang,Females,90_and_over,0
Lim Chu Kang,Males,0_to_4,0
Lim Chu Kang,Males,10_to_14,0
Lim Chu Kang,Males,15_to_19,0
Lim Chu Kang,Males,20_to_24,0
Lim Chu Kang,Males,25_to_29,0
Lim Chu Kang,Males,30_to_34,0
Lim Chu Kang,Males,35_to_39,0
Lim Chu Kang,Males,40_to_44,0
Lim Chu Kang,Males,45_to_49,0
Lim Chu Kang,Males,5_to_9,0
Lim Chu Kang,Males,50_to_54,0
Lim Chu Kang,Males,55_to_59,0
Lim Chu Kang,Males,60_to_64,0
Lim Chu Kang,Males,65_to_69,0
Lim Chu Kang,Males,70_to_74,0
Lim Chu Kang,Males,75_to_79,0
Lim Chu Kang,Males,80_to_84,0
Lim Chu Kang,Males,85_to_89,0
Lim Chu Kang,Males,90_and_over,0
Mandai,Females,0_to_4,40
Mandai,Females,10_to_14,60
Mandai,Females,15_to_19,70
Mandai,Females,20_to_24,70
Mandai,Females,25_to_29,100
Mandai,Females,30_to_34,70
Mandai,Females,35_to_39,70
Mandai,Females,40_to_44,50
Mandai,Females,45_to_49,110
Mandai,Females,5_to_9,40
Mandai,Females,50_to_54,90
Mandai,Females,55_to_59,90
Mandai,Females,60_to_64,80
Mandai,Females,65_to_69,40
Mandai,Females,70_to_74,40
Mandai,Females,75_to_79,20
Mandai,Females,80_to_84,20
Mandai,Females,85_to_89,10
Mandai,Females,90_and_over,10
Mandai,Males,0_to_4,30
Mandai,Males,10_to_14,50
Mandai,Males,15_to_19,70
Mandai,Males,20_to_24,90
Mandai,Males,25_to_29,70
Mandai,Males,30_to_34,70
Mandai,Males,35_to_39,60
Mandai,Males,40_to_44,60
Mandai,Males,45_to_49,90
Mandai,Males,5_to_9,50
Mandai,Males,50_to_54,70
Mandai,Males,55_to_59,90
Mandai,Males,60_to_64,70
Mandai,Males,65_to_69,60
Mandai,Males,70_to_74,40
Mandai,Males,75_to_79,20
Mandai,Males,80_to_84,10
Mandai,Males,85_to_89,10
Mandai,Males,90_and_over,0
Marina East,Females,0_to_4,0
Marina East,Females,10_to_14,0
Marina East,Females,15_to_19,0
Marina East,Females,20_to_24,0
Marina East,Females,25_to_29,0
Marina East,Females,30_to_34,0
Marina East,Females,35_to_39,0
Marina East,Females,40_to_44,0
Marina East,Females,45_to_49,0
Marina East,Females,5_to_9,0
Marina East,Females,50_to_54,0
Marina East,Females,55_to_59,0
Marina East,Females,60_to_64,0
Marina East,Females,65_to_69,0
Marina East,Females,70_to_74,0
Marina East,Females,75_to_79,0
Marina East,Females,80_to_84,0
Marina East,Females,85_to_89,0
Marina East,Females,90_and_over,0
Marina East,Males,0_to_4,0
Marina East,Males,10_to_14,0
Marina East,Males,15_to_19,0
Marina East,Males,20_to_24,0
Marina East,Males,25_to_29,0
Marina East,Males,30_to_34,0
Marina East,Males,35_to_39,0
Marina East,Males,40_to_44,0
Marina East,Males,45_to_49,0
Marina East,Males,5_to_9,0
Marina East,Males,50_to_54,0
Marina East,Males,55_to_59,0
Marina East,Males,60_to_64,0
Marina East,Males,65_to_69,0
Marina East,Males,70_to_74,0
Marina East,Males,75_to_79,0
Marina East,Males,80_to_84,0
Marina East,Males,85_to_89,0
Marina East,Males,90_and_over,0
Marina South,Females,0_to_4,0
Marina South,Females,10_to_14,0
Marina South,Females,15_to_19,0
Marina South,Females,20_to_24,0
Marina South,Females,25_to_29,0
Marina South,Females,30_to_34,0
Marina South,Females,35_to_39,0
Marina South,Females,40_to_44,0
Marina South,Females,45_to_49,0
Marina South,Females,5_to_9,0
Marina South,Females,50_to_54,0
Marina South,Females,55_to_59,0
Marina South,Females,60_to_64,0
Marina South,Females,65_to_69,0
Marina South,Females,70_to_74,0
Marina South,Females,75_to_79,0
Marina South,Females,80_to_84,0
Marina South,Females,85_to_89,0
Marina South,Females,90_and_over,0
Marina South,Males,0_to_4,0
Marina South,Males,10_to_14,0
Marina South,Males,15_to_19,0
Marina South,Males,20_to_24,0
Marina South,Males,25_to_29,0
Marina South,Males,30_to_34,0
Marina South,Males,35_to_39,0
Marina South,Males,40_to_44,0
Marina South,Males,45_to_49,0
Marina South,Males,5_to_9,0
Marina South,Males,50_to_54,0
Marina South,Males,55_to_59,0
Marina South,Males,60_to_64,0
Marina South,Males,65_to_69,0
Marina South,Males,70_to_74,0
Marina South,Males,75_to_79,0
Marina South,Males,80_to_84,0
Marina South,Males,85_to_89,0
Marina South,Males,90_and_over,0
Marine Parade,Females,0_to_4,910
Marine Parade,Females,10_to_14,1230
Marine Parade,Females,15_to_19,1140
Marine Parade,Females,20_to_24,1160
Marine Parade,Females,25_to_29,1240
Marine Parade,Females,30_to_34,1420
Marine Parade,Females,35_to_39,1650
Marine Parade,Females,40_to_44,2040
Marine Parade,Females,45_to_49,2080
Marine Parade,Females,5_to_9,1270
Marine Parade,Females,50_to_54,1830
Marine Parade,Females,55_to_59,1580
Marine Parade,Females,60_to_64,1570
Marine Parade,Females,65_to_69,1410
Marine Parade,Females,70_to_74,1370
Marine Parade,Females,75_to_79,970
Marine Parade,Females,80_to_84,810
Marine Parade,Females,85_to_89,510
Marine Parade,Females,90_and_over,350
Marine Parade,Males,0_to_4,880
Marine Parade,Males,10_to_14,1210
Marine Parade,Males,15_to_19,1070
Marine Parade,Males,20_to_24,1170
Marine Parade,Males,25_to_29,1170
Marine Parade,Males,30_to_34,1170
Marine Parade,Males,35_to_39,1280
Marine Parade,Males,40_to_44,1680
Marine Parade,Males,45_to_49,1810
Marine Parade,Males,5_to_9,1270
Marine Parade,Males,50_to_54,1750
Marine Parade,Males,55_to_59,1520
Marine Parade,Males,60_to_64,1420
Marine Parade,Males,65_to_69,1260
Marine Parade,Males,70_to_74,1070
Marine Parade,Males,75_to_79,710
Marine Parade,Males,80_to_84,570
Marine Parade,Males,85_to_89,290
Marine Parade,Males,90_and_over,180
Museum,Females,0_to_4,10
Museum,Females,10_to_14,10
Museum,Females,15_to_19,20
Museum,Females,20_to_24,10
Museum,Females,25_to_29,30
Museum,Females,30_to_34,30
Museum,Females,35_to_39,30
Museum,Females,40_to_44,40
Museum,Females,45_to_49,30
Museum,Females,5_to_9,20
Museum,Females,50_to_54,30
Museum,Females,55_to_59,20
Museum,Females,60_to_64,20
Museum,Females,65_to_69,20
Museum,Females,70_to_74,10
Museum,Females,75_to_79,0
Museum,Females,80_to_84,0
Museum,Females,85_to_89,0
Museum,Females,90_and_over,0
Museum,Males,0_to_4,10
Museum,Males,10_to_14,20
Museum,Males,15_to_19,0
Museum,Males,20_to_24,10
Museum,Males,25_to_29,10
Museum,Males,30_to_34,30
Museum,Males,35_to_39,20
Museum,Males,40_to_44,40
Museum,Males,45_to_49,40
Museum,Males,5_to_9,10
Museum,Males,50_to_54,40
Museum,Males,55_to_59,20
Museum,Males,60_to_64,20
Museum,Males,65_to_69,10
Museum,Males,70_to_74,10
Museum,Males,75_to_79,0
Museum,Males,80_to_84,0
Museum,Males,85_to_89,0
Museum,Males,90_and_over,0
Newton,Females,0_to_4,200
Newton,Females,10_to_14,280
Newton,Females,15_to_19,260
Newton,Females,20_to_24,180
Newton,Females,25_to_29,240
Newton,Females,30_to_34,330
Newton,Females,35_to_39,410
Newton,Females,40_to_44,460
Newton,Females,45_to_49,470
Newton,Females,5_to_9,280
Newton,Females,50_to_54,370
Newton,Females,55_to_59,310
Newton,Females,60_to_64,240
Newton,Females,65_to_69,210
Newton,Females,70_to_74,180
Newton,Females,75_to_79,110
Newton,Females,80_to_84,70
Newton,Females,85_to_89,40
Newton,Females,90_and_over,40
Newton,Males,0_to_4,230
Newton,Males,10_to_14,270
Newton,Males,15_to_19,190
Newton,Males,20_to_24,170
Newton,Males,25_to_29,170
Newton,Males,30_to_34,240
Newton,Males,35_to_39,290
Newton,Males,40_to_44,360
Newton,Males,45_to_49,400
Newton,Males,5_to_9,380
Newton,Males,50_to_54,370
Newton,Males,55_to_59,340
Newton,Males,60_to_64,270
Newton,Males,65_to_69,190
Newton,Males,70_to_74,190
Newton,Males,75_to_79,110
Newton,Males,80_to_84,70
Newton,Males,85_to_89,20
Newton,Males,90_and_over,40
North-Eastern Islands,Females,0_to_4,0
North-Eastern Islands,Females,10_to_14,0
North-Eastern Islands,Females,15_to_19,0
North-Eastern Islands,Females,20_to_24,0
North-Eastern Islands,Females,25_to_29,0
North-Eastern Islands,Females,30_to_34,0
North-Eastern Islands,Females,35_to_39,0
North-Eastern Islands,Females,40_to_44,0
North-Eastern Islands,Females,45_to_49,0
North-Eastern Islands,Females,5_to_9,0
North-Eastern Islands,Females,50_to_54,0
North-Eastern Islands,Females,55_to_59,0
North-Eastern Islands,Females,60_to_64,0
North-Eastern Islands,Females,65_to_69,0
North-Eastern Islands,Females,70_to_74,0
North-Eastern Islands,Females,75_to_79,0
North-Eastern Islands,Females,80_to_84,0
North-Eastern Islands,Females,85_to_89,0
North-Eastern Islands,Females,90_and_over,0
North-Eastern Islands,Males,0_to_4,0
North-Eastern Islands,Males,10_to_14,0
North-Eastern Islands,Males,15_to_19,0
North-Eastern Islands,Males,20_to_24,0
North-Eastern Islands,Males,25_to_29,0
North-Eastern Islands,Males,30_to_34,0
North-Eastern Islands,Males,35_to_39,0
North-Eastern Islands,Males,40_to_44,0
North-Eastern Islands,Males,45_to_49,0
North-Eastern Islands,Males,5_to_9,0
North-Eastern Islands,Males,50_to_54,0
North-Eastern Islands,Males,55_to_59,0
North-Eastern Islands,Males,60_to_64,0
North-Eastern Islands,Males,65_to_69,0
North-Eastern Islands,Males,70_to_74,0
North-Eastern Islands,Males,75_to_79,0
North-Eastern Islands,Males,80_to_84,0
North-Eastern Islands,Males,85_to_89,0
North-Eastern Islands,Males,90_and_over,0
Novena,Females,0_to_4,1030
Novena,Females,10_to_14,1250
Novena,Females,15_to_19,1120
Novena,Females,20_to_24,1130
Novena,Females,25_to_29,1470
Novena,Females,30_to_34,1910
Novena,Females,35_to_39,1990
Novena,Females,40_to_44,2340
Novena,Females,45_to_49,2220
Novena,Females,5_to_9,1230
Novena,Females,50_to_54,1910
Novena,Females,55_to_59,1720
Novena,Females,60_to_64,1570
Novena,Females,65_to_69,1470
Novena,Females,70_to_74,1240
Novena,Females,75_to_79,860
Novena,Females,80_to_84,770
Novena,Females,85_to_89,490
Novena,Females,90_and_over,310
Novena,Males,0_to_4,1180
Novena,Males,10_to_14,1480
Novena,Males,15_to_19,1260
Novena,Males,20_to_24,1160
Novena,Males,25_to_29,1370
Novena,Males,30_to_34,1650
Novena,Males,35_to_39,1680
Novena,Males,40_to_44,1880
Novena,Males,45_to_49,2140
Novena,Males,5_to_9,1770
Novena,Males,50_to_54,1920
Novena,Males,55_to_59,1730
Novena,Males,60_to_64,1530
Novena,Males,65_to_69,1310
Novena,Males,70_to_74,1050
Novena,Males,75_to_79,700
Novena,Males,80_to_84,520
Novena,Males,85_to_89,280
Novena,Males,90_and_over,150
Orchard,Females,0_to_4,20
Orchard,Females,10_to_14,50
Orchard,Females,15_to_19,30
Orchard,Females,20_to_24,20
Orchard,Females,25_to_29,30
Orchard,Females,30_to_34,50
Orchard,Females,35_to_39,50
Orchard,Females,40_to_44,50
Orchard,Females,45_to_49,70
Orchard,Females,5_to_9,20
Orchard,Females,50_to_54,40
Orchard,Females,55_to_59,20
Orchard,Females,60_to_64,40
Orchard,Females,65_to_69,30
Orchard,Females,70_to_74,20
Orchard,Females,75_to_79,20
Orchard,Females,80_to_84,0
Orchard,Females,85_to_89,0
Orchard,Females,90_and_over,0
Orchard,Males,0_to_4,20
Orchard,Males,10_to_14,40
Orchard,Males,15_to_19,20
Orchard,Males,20_to_24,10
Orchard,Males,25_to_29,20
Orchard,Males,30_to_34,60
Orchard,Males,35_to_39,20
Orchard,Males,40_to_44,50
Orchard,Males,45_to_49,60
Orchard,Males,5_to_9,20
Orchard,Males,50_to_54,50
Orchard,Males,55_to_59,20
Orchard,Males,60_to_64,60
Orchard,Males,65_to_69,20
Orchard,Males,70_to_74,20
Orchard,Males,75_to_79,10
Orchard,Males,80_to_84,10
Orchard,Males,85_to_89,0
Orchard,Males,90_and_over,0
Outram,Females,0_to_4,270
Outram,Females,10_to_14,370
Outram,Females,15_to_19,290
Outram,Females,20_to_24,290
Outram,Females,25_to_29,440
Outram,Females,30_to_34,550
Outram,Females,35_to_39,530
Outram,Females,40_to_44,760
Outram,Females,45_to_49,650
Outram,Females,5_to_9,310
Outram,Females,50_to_54,570
Outram,Females,55_to_59,610
Outram,Females,60_to_64,580
Outram,Females,65_to_69,600
Outram,Females,70_to_74,670
Outram,Females,75_to_79,440
Outram,Females,80_to_84,340
Outram,Females,85_to_89,190
Outram,Females,90_and_over,240
Outram,Males,0_to_4,250
Outram,Males,10_to_14,360
Outram,Males,15_to_19,290
Outram,Males,20_to_24,260
Outram,Males,25_to_29,460
Outram,Males,30_to_34,560
Outram,Males,35_to_39,520
Outram,Males,40_to_44,630
Outram,Males,45_to_49,700
Outram,Males,5_to_9,300
Outram,Males,50_to_54,600
Outram,Males,55_to_59,720
Outram,Males,60_to_64,820
Outram,Males,65_to_69,730
Outram,Males,70_to_74,660
Outram,Males,75_to_79,370
Outram,Males,80_to_84,300
Outram,Males,85_to_89,130
Outram,Males,90_and_over,110
Pasir Ris,Females,0_to_4,2730
Pasir Ris,Females,10_to_14,3540
Pasir Ris,Females,15_to_19,4000
Pasir Ris,Females,20_to_24,5330
Pasir Ris,Females,25_to_29,6550
Pasir Ris,Females,30_to_34,5170
Pasir Ris,Females,35_to_39,4570
Pasir Ris,Females,40_to_44,4940
Pasir Ris,Females,45_to_49,5450
Pasir Ris,Females,5_to_9,3100
Pasir Ris,Females,50_to_54,6210
Pasir Ris,Females,55_to_59,7260
Pasir Ris,Females,60_to_64,5410
Pasir Ris,Females,65_to_69,3720
Pasir Ris,Females,70_to_74,2520
Pasir Ris,Females,75_to_79,1420
Pasir Ris,Females,80_to_84,1100
Pasir Ris,Females,85_to_89,620
Pasir Ris,Females,90_and_over,390
Pasir Ris,Males,0_to_4,2820
Pasir Ris,Males,10_to_14,3720
Pasir Ris,Males,15_to_19,4340
Pasir Ris,Males,20_to_24,5690
Pasir Ris,Males,25_to_29,7110
Pasir Ris,Males,30_to_34,5140
Pasir Ris,Males,35_to_39,4020
Pasir Ris,Males,40_to_44,4430
Pasir Ris,Males,45_to_49,4810
Pasir Ris,Males,5_to_9,3430
Pasir Ris,Males,50_to_54,5180
Pasir Ris,Males,55_to_59,6800
Pasir Ris,Males,60_to_64,5890
Pasir Ris,Males,65_to_69,4000
Pasir Ris,Males,70_to_74,2490
Pasir Ris,Males,75_to_79,1180
Pasir Ris,Males,80_to_84,670
Pasir Ris,Males,85_to_89,330
Pasir Ris,Males,90_and_over,180
Paya Lebar,Females,0_to_4,0
Paya Lebar,Females,10_to_14,0
Paya Lebar,Females,15_to_19,0
Paya Lebar,Females,20_to_24,0
Paya Lebar,Females,25_to_29,0
Paya Lebar,Females,30_to_34,0
Paya Lebar,Females,35_to_39,0
Paya Lebar,Females,40_to_44,0
Paya Lebar,Females,45_to_49,0
Paya Lebar,Females,5_to_9,0
Paya Lebar,Females,50_to_54,0
Paya Lebar,Females,55_to_59,0
Paya Lebar,Females,60_to_64,0
Paya Lebar,Females,65_to_69,0
Paya Lebar,Females,70_to_74,0
Paya Lebar,Females,75_to_79,0
Paya Lebar,Females,80_to_84,0
Paya Lebar,Females,85_to_89,0
Paya Lebar,Females,90_and_over,0
Paya Lebar,Males,0_to_4,0
Paya Lebar,Males,10_to_14,0
Paya Lebar,Males,15_to_19,0
Paya Lebar,Males,20_to_24,0
Paya Lebar,Males,25_to_29,0
Paya Lebar,Males,30_to_34,0
Paya Lebar,Males,35_to_39,0
Paya Lebar,Males,40_to_44,0
Paya Lebar,Males,45_to_49,0
Paya Lebar,Males,5_to_9,0
Paya Lebar,Males,50_to_54,0
Paya Lebar,Males,55_to_59,0
Paya Lebar,Males,60_to_64,0
Paya Lebar,Males,65_to_69,0
Paya Lebar,Males,70_to_74,0
Paya Lebar,Males,75_to_79,0
Paya Lebar,Males,80_to_84,0
Paya Lebar,Males,85_to_89,0
Paya Lebar,Males,90_and_over,0
Pioneer,Females,0_to_4,0
Pioneer,Females,10_to_14,0
Pioneer,Females,15_to_19,0
Pioneer,Females,20_to_24,0
Pioneer,Females,25_to_29,0
Pioneer,Females,30_to_34,0
Pioneer,Females,35_to_39,0
Pioneer,Females,40_to_44,0
Pioneer,Females,45_to_49,0
Pioneer,Females,5_to_9,0
Pioneer,Females,50_to_54,0
Pioneer,Females,55_to_59,0
Pioneer,Females,60_to_64,0
Pioneer,Females,65_to_69,0
Pioneer,Females,70_to_74,0
Pioneer,Females,75_to_79,0
Pioneer,Females,80_to_84,0
Pioneer,Females,85_to_89,0
Pioneer,Females,90_and_over,0
Pioneer,Males,0_to_4,0
Pioneer,Males,10_to_14,0
Pioneer,Males,15_to_19,0
Pioneer,Males,20_to_24,0
Pioneer,Males,25_to_29,0
Pioneer,Males,30_to_34,0
Pioneer,Males,35_to_39,0
Pioneer,Males,40_to_44,0
Pioneer,Males,45_to_49,0
Pioneer,Males,5_to_9,0
Pioneer,Males,50_to_54,0
Pioneer,Males,55_to_59,0
Pioneer,Males,60_to_64,0
Pioneer,Males,65_to_69,0
Pioneer,Males,70_to_74,0
Pioneer,Males,75_to_79,0
Pioneer,Males,80_to_84,0
Pioneer,Males,85_to_89,0
Pioneer,Males,90_and_over,0
Punggol,Females,0_to_4,6940
Punggol,Females,10_to_14,6070
Punggol,Females,15_to_19,4860
Punggol,Females,20_to_24,3900
Punggol,Females,25_to_29,4890
Punggol,Females,30_to_34,9370
Punggol,Females,35_to_39,11140
Punggol,Females,40_to_44,9820
Punggol,Females,45_to_49,7770
Punggol,Females,5_to_9,7660
Punggol,Females,50_to_54,5370
Punggol,Females,55_to_59,4340
Punggol,Females,60_to_64,3680
Punggol,Females,65_to_69,3260
Punggol,Females,70_to_74,2660
Punggol,Females,75_to_79,1370
Punggol,Females,80_to_84,880
Punggol,Females,85_to_89,420
Punggol,Females,90_and_over,270
Punggol,Males,0_to_4,7090
Punggol,Males,10_to_14,6700
Punggol,Males,15_to_19,4950
Punggol,Males,20_to_24,4170
Punggol,Males,25_to_29,4110
Punggol,Males,30_to_34,7330
Punggol,Males,35_to_39,9640
Punggol,Males,40_to_44,9630
Punggol,Males,45_to_49,8380
Punggol,Males,5_to_9,8240
Punggol,Males,50_to_54,5890
Punggol,Males,55_to_59,4700
Punggol,Males,60_to_64,3570
Punggol,Males,65_to_69,2880
Punggol,Males,70_to_74,2190
Punggol,Males,75_to_79,1140
Punggol,Males,80_to_84,670
Punggol,Males,85_to_89,240
Punggol,Males,90_and_over,80
Queenstown,Females,0_to_4,1810
Queenstown,Females,10_to_14,2030
Queenstown,Females,15_to_19,1930
Queenstown,Females,20_to_24,2390
Queenstown,Females,25_to_29,2960
Queenstown,Females,30_to_34,3760
Queenstown,Females,35_to_39,3620
Queenstown,Females,40_to_44,3910
Queenstown,Females,45_to_49,3910
Queenstown,Females,5_to_9,1990
Queenstown,Females,50_to_54,3650
Queenstown,Females,55_to_59,3470
Queenstown,Females,60_to_64,3260
Queenstown,Females,65_to_69,3230
Queenstown,Females,70_to_74,3260
Queenstown,Females,75_to_79,2220
Queenstown,Females,80_to_84,2040
Queenstown,Females,85_to_89,1210
Queenstown,Females,90_and_over,740
Queenstown,Males,0_to_4,1870
Queenstown,Males,10_to_14,2090
Queenstown,Males,15_to_19,2110
Queenstown,Males,20_to_24,2190
Queenstown,Males,25_to_29,2910
Queenstown,Males,30_to_34,3410
Queenstown,Males,35_to_39,3160
Queenstown,Males,40_to_44,3370
Queenstown,Males,45_to_49,3480
Queenstown,Males,5_to_9,2180
Queenstown,Males,50_to_54,3400
Queenstown,Males,55_to_59,3330
Queenstown,Males,60_to_64,3030
Queenstown,Males,65_to_69,2690
Queenstown,Males,70_to_74,2390
Queenstown,Males,75_to_79,1570
Queenstown,Males,80_to_84,1260
Queenstown,Males,85_to_89,670
Queenstown,Males,90_and_over,370
River Valley,Females,0_to_4,250
River Valley,Females,10_to_14,340
River Valley,Females,15_to_19,330
River Valley,Females,20_to_24,300
River Valley,Females,25_to_29,330
River Valley,Females,30_to_34,420
River Valley,Females,35_to_39,500
River Valley,Females,40_to_44,630
River Valley,Females,45_to_49,580
River Valley,Females,5_to_9,390
River Valley,Females,50_to_54,540
River Valley,Females,55_to_59,340
River Valley,Females,60_to_64,300
River Valley,Females,65_to_69,250
River Valley,Females,70_to_74,210
River Valley,Females,75_to_79,140
River Valley,Females,80_to_84,90
River Valley,Females,85_to_89,50
River Valley,Females,90_and_over,40
River Valley,Males,0_to_4,260
River Valley,Males,10_to_14,280
River Valley,Males,15_to_19,260
River Valley,Males,20_to_24,180
River Valley,Males,25_to_29,250
River Valley,Males,30_to_34,320
River Valley,Males,35_to_39,390
River Valley,Males,40_to_44,490
River Valley,Males,45_to_49,530
River Valley,Males,5_to_9,320
River Valley,Males,50_to_54,530
River Valley,Males,55_to_59,360
River Valley,Males,60_to_64,290
River Valley,Males,65_to_69,230
River Valley,Males,70_to_74,200
River Valley,Males,75_to_79,110
River Valley,Males,80_to_84,70
River Valley,Males,85_to_89,30
River Valley,Males,90_and_over,20
Rochor,Females,0_to_4,180
Rochor,Females,10_to_14,220
Rochor,Females,15_to_19,230
Rochor,Females,20_to_24,270
Rochor,Females,25_to_29,370
Rochor,Females,30_to_34,510
Rochor,Females,35_to_39,480
Rochor,Females,40_to_44,480
Rochor,Females,45_to_49,510
Rochor,Females,5_to_9,210
Rochor,Females,50_to_54,470
Rochor,Females,55_to_59,420
Rochor,Females,60_to_64,430
Rochor,Females,65_to_69,430
Rochor,Females,70_to_74,440
Rochor,Females,75_to_79,300
Rochor,Females,80_to_84,200
Rochor,Females,85_to_89,120
Rochor,Females,90_and_over,60
Rochor,Males,0_to_4,180
Rochor,Males,10_to_14,190
Rochor,Males,15_to_19,230
Rochor,Males,20_to_24,270
Rochor,Males,25_to_29,360
Rochor,Males,30_to_34,510
